x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.107753,0.037806,2.843136,1.246813,3135.203,800.000,1.127237,10833.748,25298996.515
0.107980,0.037850,2.845006,1.246959,3135.045,800.000,1.126870,10807.694,25236456.820
0.108207,0.037893,2.846857,1.247101,3134.891,800.000,1.126509,10781.976,25174735.756
0.108434,0.037936,2.848689,1.247239,3134.738,800.000,1.126153,10756.591,25113825.553
0.108661,0.037979,2.850502,1.247374,3134.588,800.000,1.125801,10731.535,25053718.551
0.108888,0.038021,2.852296,1.247505,3134.441,800.000,1.125455,10706.807,24994407.195
0.109115,0.038063,2.854072,1.247633,3134.295,800.000,1.125114,10682.403,24935884.037
0.109342,0.038104,2.855828,1.247758,3134.152,800.000,1.124778,10658.320,24878141.732
0.109569,0.038145,2.857566,1.247880,3134.012,800.000,1.124447,10634.555,24821173.036
0.109796,0.038186,2.859286,1.247998,3133.873,800.000,1.124121,10611.105,24764970.809
0.110023,0.038226,2.860987,1.248113,3133.737,800.000,1.123800,10587.968,24709528.008
0.110250,0.038266,2.862669,1.248225,3133.602,800.000,1.123484,10565.141,24654837.693
0.110477,0.038306,2.864333,1.248334,3133.470,800.000,1.123173,10542.621,24600893.017
0.110704,0.038345,2.865979,1.248439,3133.340,800.000,1.122866,10520.405,24547687.232
0.110931,0.038383,2.867607,1.248542,3133.213,800.000,1.122564,10498.491,24495213.684
0.111157,0.038422,2.869216,1.248641,3133.087,800.000,1.122267,10476.877,24443465.814
0.111384,0.038460,2.870807,1.248738,3132.964,800.000,1.121975,10455.558,24392437.155
0.111611,0.038497,2.872381,1.248832,3132.842,800.000,1.121687,10434.534,24342121.334
0.111838,0.038534,2.873936,1.248923,3132.723,800.000,1.121404,10413.802,24292512.065
0.112065,0.038571,2.875473,1.249011,3132.605,800.000,1.121126,10393.358,24243603.154
0.112292,0.038608,2.876992,1.249096,3132.490,800.000,1.120852,10373.201,24195388.497
0.112519,0.038644,2.878494,1.249178,3132.377,800.000,1.120583,10353.328,24147862.076
0.112746,0.038679,2.879977,1.249258,3132.265,800.000,1.120318,10333.738,24101017.960
0.112973,0.038714,2.881443,1.249335,3132.156,800.000,1.120057,10314.426,24054850.304
0.113200,0.038749,2.882891,1.249409,3132.048,800.000,1.119801,10295.392,24009353.348
0.113427,0.038784,2.884322,1.249481,3131.943,800.000,1.119550,10276.634,23964521.416
0.113654,0.038818,2.885735,1.249551,3131.839,800.000,1.119302,10258.147,23920348.916
0.113881,0.038851,2.887130,1.249618,3131.737,800.000,1.119059,10239.932,23876830.338
0.114108,0.038885,2.888508,1.249682,3131.637,800.000,1.118821,10221.985,23833960.251
0.114335,0.038917,2.889869,1.249744,3131.539,800.000,1.118586,10204.304,23791733.309
0.114562,0.038950,2.891212,1.249804,3131.443,800.000,1.118356,10186.887,23750144.243
0.114789,0.038982,2.892538,1.249861,3131.348,800.000,1.118129,10169.733,23709187.864
0.115016,0.039014,2.893847,1.249916,3131.255,800.000,1.117907,10152.839,23668859.060
0.115243,0.039045,2.895138,1.249969,3131.164,800.000,1.117689,10136.202,23629152.799
