x_m,r_m,Ma_iso,delta_star_m,r_eff_m,Ma_eff,mu_Pa_s,Re_x
0.085768,0.032926,2.621128,1.69545989e-04,0.032756,2.614222,1.00547987e-04,3.250973e+05
0.085959,0.032961,2.622559,1.70167256e-04,0.032791,2.615637,1.00527871e-04,3.257954e+05
0.086151,0.032996,2.623974,1.70787842e-04,0.032825,2.617038,1.00507971e-04,3.264960e+05
0.086342,0.033030,2.625375,1.71407741e-04,0.032859,2.618423,1.00488285e-04,3.271994e+05
0.086533,0.033065,2.626760,1.72026952e-04,0.032893,2.619792,1.00468813e-04,3.279054e+05
0.086724,0.033099,2.628130,1.72645470e-04,0.032926,2.621147,1.00449554e-04,3.286141e+05
0.086915,0.033132,2.629485,1.73263292e-04,0.032959,2.622486,1.00430507e-04,3.293257e+05
0.087106,0.033166,2.630824,1.73880414e-04,0.032992,2.623810,1.00411672e-04,3.300400e+05
0.087297,0.033199,2.632149,1.74496833e-04,0.033024,2.625120,1.00393046e-04,3.307572e+05
0.087488,0.033231,2.633459,1.75112546e-04,0.033056,2.626414,1.00374630e-04,3.314772e+05
0.087679,0.033264,2.634754,1.75727548e-04,0.033088,2.627693,1.00356424e-04,3.322001e+05
0.087870,0.033296,2.636034,1.76341837e-04,0.033119,2.628958,1.00338425e-04,3.329260e+05
0.088061,0.033327,2.637300,1.76955409e-04,0.033150,2.630208,1.00320633e-04,3.336549e+05
0.088252,0.033359,2.638551,1.77568261e-04,0.033181,2.631443,1.00303048e-04,3.343867e+05
0.088443,0.033390,2.639787,1.78180388e-04,0.033211,2.632663,1.00285669e-04,3.351216e+05
0.088634,0.033420,2.641008,1.78791788e-04,0.033241,2.633869,1.00268495e-04,3.358596e+05
0.088825,0.033451,2.642215,1.79402457e-04,0.033271,2.635060,1.00251525e-04,3.366007e+05
0.089016,0.033481,2.643408,1.80012391e-04,0.033301,2.636237,1.00234759e-04,3.373450e+05
0.089208,0.033510,2.644586,1.80621586e-04,0.033330,2.637399,1.00218195e-04,3.380924e+05
0.089399,0.033540,2.645749,1.81230041e-04,0.033358,2.638547,1.00201834e-04,3.388431e+05
0.089590,0.033569,2.646898,1.81837749e-04,0.033387,2.639680,1.00185675e-04,3.395970e+05
0.089781,0.033597,2.648033,1.82444709e-04,0.033415,2.640799,1.00169716e-04,3.403542e+05
0.089972,0.033626,2.649154,1.83050917e-04,0.033443,2.641904,1.00153958e-04,3.411148e+05
0.090163,0.033654,2.650261,1.83656369e-04,0.033470,2.642995,1.00138399e-04,3.418786e+05
0.090354,0.033682,2.651353,1.84261061e-04,0.033497,2.644071,1.00123039e-04,3.426459e+05
0.090545,0.033709,2.652431,1.84864990e-04,0.033524,2.645133,1.00107878e-04,3.434167e+05
0.090736,0.033736,2.653496,1.85468152e-04,0.033551,2.646181,1.00092914e-04,3.441908e+05
0.090927,0.033763,2.654546,1.86070545e-04,0.033577,2.647215,1.00078148e-04,3.449685e+05
0.091118,0.033789,2.655582,1.86672163e-04,0.033603,2.648235,1.00063577e-04,3.457498e+05
0.091309,0.033815,2.656604,1.87273004e-04,0.033628,2.649242,1.00049203e-04,3.465346e+05
0.091500,0.033841,2.657613,1.87873063e-04,0.033653,2.650234,1.00035024e-04,3.473230e+05
0.091691,0.033866,2.658607,1.88472339e-04,0.033678,2.651212,1.00021040e-04,3.481150e+05
0.091882,0.033892,2.659588,1.89070825e-04,0.033703,2.652176,1.00007250e-04,3.489108e+05
0.092074,0.033916,2.660555,1.89668520e-04,0.033727,2.653127,9.99936532e-05,3.497102e+05
0.092265,0.033941,2.661508,1.90265420e-04,0.033751,2.654064,9.99802498e-05,3.505135e+05
0.092456,0.033965,2.662447,1.90861520e-04,0.033774,2.654987,9.99670390e-05,3.513205e+05
0.092647,0.033989,2.663373,1.91456817e-04,0.033797,2.655897,9.99540201e-05,3.521313e+05
0.092838,0.034012,2.664286,1.92051308e-04,0.033820,2.656792,9.99411927e-05,3.529460e+05
0.093029,0.034035,2.665184,1.92644989e-04,0.033843,2.657675,9.99285563e-05,3.537646e+05
0.093220,0.034058,2.666069,1.93237855e-04,0.033865,2.658543,9.99161104e-05,3.545872e+05
0.093411,0.034081,2.666941,1.93829905e-04,0.033887,2.659398,9.99038545e-05,3.554137e+05
0.093602,0.034103,2.667799,1.94421133e-04,0.033908,2.660240,9.98917881e-05,3.562443e+05
0.093793,0.034125,2.668644,1.95011536e-04,0.033930,2.661068,9.98799107e-05,3.570789e+05
0.093984,0.034146,2.669475,1.95601111e-04,0.033950,2.661882,9.98682218e-05,3.579176e+05
0.094175,0.034167,2.670293,1.96189854e-04,0.033971,2.662683,9.98567210e-05,3.587604e+05
0.094366,0.034188,2.671097,1.96777760e-04,0.033991,2.663471,9.98454079e-05,3.596074e+05
0.094557,0.034208,2.671888,1.97364827e-04,0.034011,2.664246,9.98342819e-05,3.604586e+05
0.094748,0.034229,2.672666,1.97951051e-04,0.034031,2.665007,9.98233428e-05,3.613140e+05
0.094939,0.034249,2.673431,1.98536427e-04,0.034050,2.665755,9.98125899e-05,3.621737e+05
0.095131,0.034268,2.674182,1.99120952e-04,0.034069,2.666489,9.98020230e-05,3.630378e+05
0.095322,0.034287,2.674921,1.99704623e-04,0.034088,2.667211,9.97916416e-05,3.639062e+05
0.095513,0.034306,2.675646,2.00287436e-04,0.034106,2.667919,9.97814452e-05,3.647790e+05
0.095704,0.034325,2.676358,2.00869386e-04,0.034124,2.668614,9.97714336e-05,3.656563e+05
0.095895,0.034343,2.677057,2.01450471e-04,0.034141,2.669295,9.97616063e-05,3.665380e+05
0.096086,0.034361,2.677742,2.02030685e-04,0.034159,2.669964,9.97519629e-05,3.674243e+05
0.096277,0.034378,2.678415,2.02610027e-04,0.034176,2.670620,9.97425031e-05,3.683151e+05
0.096468,0.034395,2.679075,2.03188491e-04,0.034192,2.671262,9.97332265e-05,3.692105e+05
0.096659,0.034412,2.679722,2.03766074e-04,0.034209,2.671892,9.97241327e-05,3.701106e+05
0.096850,0.034429,2.680355,2.04342772e-04,0.034225,2.672508,9.97152214e-05,3.710153e+05
