x_m,r_m,Ma_iso,delta_star_m,r_eff_m,Ma_eff,mu_Pa_s,Re_x_plot
0.042149,0.016277,1.349966,1.32586711e-04,0.016145,1.318495,8.46308833e-05,8.537028e+05
0.042177,0.016293,1.353622,1.32706973e-04,0.016161,1.322450,8.45949999e-05,8.529489e+05
0.042206,0.016310,1.357277,1.32826795e-04,0.016177,1.326397,8.45590675e-05,8.521802e+05
0.042206,0.016310,1.357277,1.32826795e-04,0.016177,1.326397,8.45590675e-05,8.521802e+05
0.042397,0.016420,1.381121,1.33629586e-04,0.016286,1.352000,8.43231904e-05,8.469541e+05
0.042588,0.016530,1.403588,1.34426809e-04,0.016395,1.375916,8.40986908e-05,8.417449e+05
0.042779,0.016639,1.424881,1.35218946e-04,0.016504,1.398430,8.38839478e-05,8.365665e+05
0.042970,0.016748,1.445158,1.36006420e-04,0.016612,1.419754,8.36777156e-05,8.314287e+05
0.043161,0.016857,1.464544,1.36789606e-04,0.016720,1.440049,8.34790112e-05,8.263391e+05
0.043352,0.016966,1.483137,1.37568838e-04,0.016828,1.459443,8.32870416e-05,8.213031e+05
0.043543,0.017074,1.501020,1.38344413e-04,0.016935,1.478037,8.31011556e-05,8.163246e+05
0.043734,0.017182,1.518262,1.39116600e-04,0.017042,1.495915,8.29208101e-05,8.114068e+05
0.043925,0.017289,1.534918,1.39885638e-04,0.017149,1.513146,8.27455458e-05,8.065516e+05
0.044116,0.017396,1.551039,1.40651745e-04,0.017256,1.529789,8.25749702e-05,8.017606e+05
0.044307,0.017503,1.566667,1.41415118e-04,0.017362,1.545893,8.24087441e-05,7.970350e+05
0.044498,0.017610,1.581839,1.42175935e-04,0.017467,1.561502,8.22465717e-05,7.923752e+05
0.044690,0.017716,1.596586,1.42934361e-04,0.017573,1.576652,8.20881933e-05,7.877817e+05
0.044881,0.017822,1.610937,1.43690543e-04,0.017678,1.591377,8.19333790e-05,7.832545e+05
0.045072,0.017927,1.624918,1.44444619e-04,0.017783,1.605704,8.17819239e-05,7.787935e+05
0.045263,0.018033,1.638552,1.45196713e-04,0.017887,1.619660,8.16336444e-05,7.743984e+05
0.045454,0.018137,1.651857,1.45946940e-04,0.017991,1.633267,8.14883753e-05,7.700688e+05
0.045645,0.018242,1.664853,1.46695406e-04,0.018095,1.646546,8.13459668e-05,7.658042e+05
0.045836,0.018346,1.677556,1.47442209e-04,0.018199,1.659515,8.12062829e-05,7.616039e+05
0.046027,0.018450,1.689982,1.48187439e-04,0.018302,1.672190,8.10691993e-05,7.574674e+05
0.046218,0.018554,1.702143,1.48931181e-04,0.018405,1.684587,8.09346021e-05,7.533938e+05
0.046409,0.018657,1.714054,1.49673511e-04,0.018507,1.696720,8.08023865e-05,7.493823e+05
0.046600,0.018760,1.725724,1.50414501e-04,0.018609,1.708601,8.06724559e-05,7.454322e+05
0.046791,0.018862,1.737165,1.51154218e-04,0.018711,1.720242,8.05447208e-05,7.415427e+05
0.046982,0.018965,1.748387,1.51892726e-04,0.018813,1.731654,8.04190981e-05,7.377128e+05
0.047173,0.019067,1.759399,1.52630081e-04,0.018914,1.742847,8.02955106e-05,7.339417e+05
0.047364,0.019168,1.770209,1.53366337e-04,0.019015,1.753829,8.01738861e-05,7.302285e+05
0.047556,0.019270,1.780826,1.54101546e-04,0.019115,1.764610,8.00541573e-05,7.265723e+05
0.047747,0.019371,1.791257,1.54835754e-04,0.019216,1.775197,7.99362608e-05,7.229723e+05
0.047938,0.019471,1.801508,1.55569005e-04,0.019316,1.785598,7.98201375e-05,7.194275e+05
0.048129,0.019571,1.811586,1.56301341e-04,0.019415,1.795820,7.97057314e-05,7.159371e+05
0.048320,0.019671,1.821498,1.57032800e-04,0.019514,1.805869,7.95929899e-05,7.125002e+05
0.048511,0.019771,1.831248,1.57763419e-04,0.019613,1.815751,7.94818633e-05,7.091159e+05
0.048702,0.019870,1.840843,1.58493231e-04,0.019712,1.825472,7.93723047e-05,7.057833e+05
0.048893,0.019969,1.850287,1.59222268e-04,0.019810,1.835037,7.92642695e-05,7.025016e+05
0.049084,0.020068,1.859586,1.59950561e-04,0.019908,1.844453,7.91577155e-05,6.992699e+05
0.049275,0.020166,1.868743,1.60678136e-04,0.020006,1.853722,7.90526027e-05,6.960874e+05
0.049466,0.020264,1.877764,1.61405021e-04,0.020103,1.862850,7.89488928e-05,6.929534e+05
0.049657,0.020362,1.886651,1.62131240e-04,0.020200,1.871842,7.88465495e-05,6.898669e+05
0.049848,0.020459,1.895410,1.62856817e-04,0.020296,1.880701,7.87455383e-05,6.868271e+05
0.050039,0.020556,1.904043,1.63581773e-04,0.020393,1.889430,7.86458260e-05,6.838334e+05
0.050230,0.020653,1.912554,1.64306129e-04,0.020489,1.898035,7.85473811e-05,6.808848e+05
0.050421,0.020749,1.920947,1.65029905e-04,0.020584,1.906518,7.84501734e-05,6.779807e+05
0.050613,0.020845,1.929225,1.65753118e-04,0.020680,1.914883,7.83541739e-05,6.751203e+05
0.050804,0.020941,1.937391,1.66475786e-04,0.020775,1.923132,7.82593549e-05,6.723029e+05
0.050995,0.021036,1.945447,1.67197924e-04,0.020869,1.931270,7.81656899e-05,6.695277e+05
0.051186,0.021132,1.953396,1.67919549e-04,0.020964,1.939298,7.80731533e-05,6.667941e+05
0.051377,0.021226,1.961242,1.68640673e-04,0.021058,1.947220,7.79817206e-05,6.641013e+05
0.051568,0.021321,1.968986,1.69361312e-04,0.021151,1.955037,7.78913682e-05,6.614488e+05
0.051759,0.021415,1.976631,1.70081477e-04,0.021245,1.962754,7.78020734e-05,6.588357e+05
0.051950,0.021508,1.984180,1.70801180e-04,0.021338,1.970372,7.77138144e-05,6.562614e+05
0.052141,0.021602,1.991634,1.71520432e-04,0.021430,1.977893,7.76265701e-05,6.537254e+05
0.052332,0.021695,1.998997,1.72239244e-04,0.021523,1.985320,7.75403202e-05,6.512270e+05
0.052523,0.021788,2.006269,1.72957626e-04,0.021615,1.992655,7.74550452e-05,6.487656e+05
0.052714,0.021880,2.013452,1.73675587e-04,0.021706,1.999900,7.73707260e-05,6.463405e+05
0.052905,0.021972,2.020550,1.74393136e-04,0.021798,2.007057,7.72873445e-05,6.439512e+05
0.053096,0.022064,2.027563,1.75110281e-04,0.021889,2.014128,7.72048829e-05,6.415971e+05
0.053287,0.022155,2.034494,1.75827029e-04,0.021979,2.021115,7.71233242e-05,6.392776e+05
0.053479,0.022246,2.041344,1.76543388e-04,0.022070,2.028019,7.70426518e-05,6.369923e+05
0.053670,0.022337,2.048114,1.77259365e-04,0.022160,2.034842,7.69628497e-05,6.347404e+05
0.053861,0.022428,2.054807,1.77974965e-04,0.022250,2.041587,7.68839025e-05,6.325216e+05
0.054052,0.022518,2.061424,1.78690194e-04,0.022339,2.048253,7.68057950e-05,6.303352e+05
0.054243,0.022608,2.067967,1.79405059e-04,0.022428,2.054844,7.67285128e-05,6.281808e+05
0.054434,0.022697,2.074436,1.80119564e-04,0.022517,2.061361,7.66520417e-05,6.260579e+05
0.054625,0.022786,2.080833,1.80833713e-04,0.022605,2.067804,7.65763679e-05,6.239660e+05
0.054816,0.022875,2.087160,1.81547512e-04,0.022693,2.074175,7.65014782e-05,6.219046e+05
0.055007,0.022963,2.093418,1.82260965e-04,0.022781,2.080477,7.64273596e-05,6.198732e+05
0.055198,0.023052,2.099608,1.82974074e-04,0.022869,2.086709,7.63539996e-05,6.178713e+05
0.055389,0.023139,2.105732,1.83686844e-04,0.022956,2.092874,7.62813859e-05,6.158986e+05
0.055580,0.023227,2.111790,1.84399278e-04,0.023042,2.098972,7.62095066e-05,6.139546e+05
0.055771,0.023314,2.117784,1.85111378e-04,0.023129,2.105005,7.61383503e-05,6.120388e+05
0.055962,0.023401,2.123715,1.85823148e-04,0.023215,2.110973,7.60679056e-05,6.101508e+05
0.056153,0.023487,2.129583,1.86534590e-04,0.023301,2.116879,7.59981616e-05,6.082903e+05
0.056344,0.023574,2.135391,1.87245706e-04,0.023386,2.122723,7.59291077e-05,6.064567e+05
0.056536,0.023659,2.141139,1.87956498e-04,0.023471,2.128505,7.58607334e-05,6.046497e+05
0.056727,0.023745,2.146827,1.88666968e-04,0.023556,2.134228,7.57930288e-05,6.028690e+05
