x_mm,radius_mm,z_mm
23.35830856289982,32.162651853240035,0.0
23.594251073636176,31.881466518424286,0.0
23.83019358437254,31.600281183608526,0.0
24.066136095108902,31.31909584879277,0.0
24.302078605845264,31.03791051397701,0.0
24.538021116581625,30.756725179161254,0.0
24.77396362731799,30.475539844345494,0.0
25.009906138054347,30.19435450952974,0.0
25.24584864879071,29.913169174713985,0.0
25.481791159527074,29.63198383989823,0.0
25.717733670263435,29.35079850508247,0.0
25.953676180999796,29.069613170266713,0.0
26.189618691736158,28.788427835450953,0.0
26.42556120247252,28.507242500635197,0.0
26.66150371320888,28.226057165819444,0.0
26.89744622394524,27.944871831003685,0.0
27.133388734681606,27.66368649618793,0.0
27.369331245417968,27.38250116137217,0.0
27.60527375615433,27.101315826556412,0.0
27.841216266890694,26.820130491740652,0.0
28.07715877762705,26.5389451569249,0.0
28.244014844565235,26.34209227274888,0.0
28.41087091150342,26.149144434870085,0.0
28.577726978441603,25.959970528703195,0.0
28.744583045379787,25.774447643035966,0.0
28.91143911231797,25.592460369908036,0.0
29.078295179256155,25.41390017988555,0.0
29.24515124619434,25.238664863024713,0.0
29.412007313132523,25.066658027261965,0.0
29.578863380070707,24.897788647170675,0.0
29.74571944700889,24.731970657028455,0.0
29.912575513947075,24.56912258298248,0.0
30.07943158088526,24.409167209810512,0.0
30.246287647823443,24.25203127837605,0.0
30.413143714761627,24.09764521038649,0.0
30.57999978169981,23.945942857497464,0.0
30.746855848637995,23.796861272178475,0.0
30.91371191557618,23.650340498073277,0.0
31.080567982514363,23.50632337786283,0.0
31.247424049452547,23.36475537687518,0.0
31.41428011639073,23.225584420891213,0.0
31.581136183328915,23.088760746773023,0.0
31.747992250267103,22.954236764696095,0.0
31.914848317205287,22.82196693090129,0.0
32.08170438414347,22.691907630000546,0.0
32.24856045108165,22.564017065973548,0.0
32.41541651801984,22.438255161083312,0.0
32.58227258495802,22.31458346201856,0.0
32.74912865189621,22.19296505264141,0.0
32.91598471883439,22.073364472780963,0.0
33.082840785772575,21.95574764256897,0.0
33.249696852710755,21.84008179186245,0.0
33.41655291964894,21.72633539434198,0.0
33.58340898658712,21.61447810591308,0.0
33.75026505352531,21.504480707072865,0.0
33.91712112046349,21.396315048935122,0.0
34.08397718740168,21.289954002634676,0.0
34.25083325433987,21.185371411856902,0.0
34.41768932127805,21.082542048260553,0.0
34.584545388216235,20.981441569582216,0.0
34.751401455154415,20.882046480228794,0.0
34.9182575220926,20.784334094180952,0.0
35.08511358903078,20.688282500044988,0.0
35.25196965596897,20.593870528104215,0.0
35.41882572290715,20.50107771923299,0.0
35.58568178984534,20.409884295547357,0.0
35.75253785678352,20.320271132676666,0.0
35.91939392372171,20.232219733549123,0.0
36.08624999065989,20.145712203592936,0.0
36.253106057598075,20.06073122726198,0.0
36.419962124536255,19.97726004580196,0.0
36.58681819147444,19.895282436179254,0.0
36.75367425841262,19.814782691100437,0.0
36.92053032535081,19.73574560005564,0.0
37.08738639228899,19.658156431323977,0.0
37.25424245922718,19.582000914883388,0.0
37.42109852616536,19.507265226171608,0.0
37.58795459310355,19.43393597064846,0.0
37.75481066004173,19.362000169113415,0.0
37.921666726979915,19.29144524373519,0.0
38.088522793918095,19.222259004753425,0.0
38.25537886085628,19.154429637814882,0.0
38.42223492779446,19.08794569190931,0.0
38.58909099473265,19.022796067872413,0.0
38.75594706167083,18.95897000742525,0.0
38.92280312860902,18.896457082721803,0.0
39.0896591955472,18.83524718637782,0.0
39.25651526248539,18.775330521956125,0.0
39.42337132942357,18.71669759488483,0.0
39.590227396361755,18.6593392037867,0.0
39.75708346329994,18.60324643219894,0.0
39.92393953023812,18.54841064066416,0.0
