x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.137360,0.035665,2.945121,1.250950,3128.021,800.000,1.110074,2134.840,4969952.296
0.137712,0.035688,2.946151,1.250977,3127.954,800.000,1.109911,2132.061,4963341.009
0.138065,0.035711,2.947163,1.251003,3127.889,800.000,1.109751,2129.338,4956861.714
0.138418,0.035733,2.948155,1.251027,3127.826,800.000,1.109596,2126.669,4950513.495
0.138770,0.035755,2.949129,1.251050,3127.764,800.000,1.109444,2124.054,4944295.458
0.139123,0.035776,2.950085,1.251072,3127.703,800.000,1.109296,2121.493,4938206.722
0.139475,0.035797,2.951022,1.251092,3127.644,800.000,1.109151,2118.986,4932246.427
0.139828,0.035817,2.951941,1.251111,3127.587,800.000,1.109010,2116.533,4926413.730
0.140180,0.035838,2.952841,1.251129,3127.531,800.000,1.108872,2114.132,4920707.806
0.140533,0.035857,2.953723,1.251145,3127.476,800.000,1.108738,2111.784,4915127.848
0.140885,0.035877,2.954587,1.251161,3127.423,800.000,1.108607,2109.489,4909673.064
0.141238,0.035895,2.955432,1.251175,3127.371,800.000,1.108480,2107.246,4904342.683
0.141590,0.035914,2.956259,1.251188,3127.321,800.000,1.108356,2105.054,4899135.949
0.141943,0.035932,2.957067,1.251201,3127.272,800.000,1.108235,2102.914,4894052.122
0.142295,0.035950,2.957858,1.251212,3127.224,800.000,1.108118,2100.825,4889090.483
0.142648,0.035967,2.958630,1.251222,3127.178,800.000,1.108003,2098.787,4884250.327
0.143000,0.035984,2.959384,1.251232,3127.132,800.000,1.107892,2096.800,4879530.966
0.143353,0.036001,2.960120,1.251241,3127.089,800.000,1.107784,2094.863,4874931.731
0.143705,0.036017,2.960838,1.251249,3127.046,800.000,1.107680,2092.976,4870451.966
0.144058,0.036033,2.961538,1.251256,3127.005,800.000,1.107578,2091.139,4866091.036
0.144410,0.036048,2.962220,1.251262,3126.965,800.000,1.107479,2089.352,4861848.320
0.144763,0.036063,2.962884,1.251268,3126.926,800.000,1.107383,2087.614,4857723.214
0.145115,0.036077,2.963529,1.251274,3126.888,800.000,1.107291,2085.925,4853715.130
0.145468,0.036091,2.964157,1.251278,3126.852,800.000,1.107201,2084.285,4849823.498
0.145820,0.036105,2.964767,1.251282,3126.817,800.000,1.107114,2082.694,4846047.763
0.146173,0.036119,2.965359,1.251286,3126.783,800.000,1.107030,2081.151,4842387.386
0.146525,0.036131,2.965933,1.251289,3126.750,800.000,1.106949,2079.657,4838841.846
0.146878,0.036144,2.966489,1.251292,3126.718,800.000,1.106870,2078.211,4835410.636
0.147230,0.036156,2.967027,1.251294,3126.688,800.000,1.106795,2076.812,4832093.266
0.147583,0.036168,2.967547,1.251296,3126.658,800.000,1.106722,2075.461,4828889.263
0.147935,0.036179,2.968050,1.251297,3126.630,800.000,1.106652,2074.158,4825798.168
0.148288,0.036190,2.968535,1.251298,3126.603,800.000,1.106585,2072.902,4822819.540
0.148640,0.036201,2.969002,1.251299,3126.576,800.000,1.106520,2071.693,4819952.954
0.148993,0.036211,2.969451,1.251300,3126.551,800.000,1.106458,2070.532,4817197.997
0.149345,0.036221,2.969882,1.251300,3126.527,800.000,1.106398,2069.417,4814554.277
0.149698,0.036230,2.970296,1.251300,3126.504,800.000,1.106342,2068.348,4812021.415
