x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.109603,0.030578,2.695391,1.227470,3150.693,800.000,1.161620,13476.748,31679701.910
0.109956,0.030646,2.699021,1.227911,3150.315,800.000,1.160819,13414.081,31527311.726
0.110308,0.030713,2.702620,1.228349,3149.940,800.000,1.160024,13352.197,31376858.968
0.110661,0.030780,2.706189,1.228782,3149.569,800.000,1.159235,13291.086,31228318.100
0.111013,0.030846,2.709726,1.229211,3149.201,800.000,1.158453,13230.737,31081664.031
0.111366,0.030912,2.713234,1.229637,3148.837,800.000,1.157676,13171.142,30936872.110
0.111718,0.030978,2.716711,1.230058,3148.477,800.000,1.156906,13112.291,30793918.111
0.112071,0.031043,2.720158,1.230475,3148.121,800.000,1.156142,13054.173,30652778.226
0.112423,0.031107,2.723575,1.230888,3147.768,800.000,1.155384,12996.780,30513429.056
0.112776,0.031172,2.726963,1.231297,3147.419,800.000,1.154632,12940.103,30375847.603
0.113128,0.031236,2.730322,1.231701,3147.074,800.000,1.153886,12884.132,30240011.258
0.113481,0.031299,2.733651,1.232101,3146.732,800.000,1.153147,12828.858,30105897.799
0.113833,0.031362,2.736952,1.232497,3146.394,800.000,1.152415,12774.274,29973485.375
0.114186,0.031425,2.740224,1.232889,3146.060,800.000,1.151688,12720.370,29842752.505
0.114538,0.031488,2.743467,1.233276,3145.729,800.000,1.150968,12667.139,29713678.066
0.114891,0.031549,2.746682,1.233659,3145.402,800.000,1.150254,12614.571,29586241.288
0.115243,0.031611,2.749868,1.234037,3145.079,800.000,1.149547,12562.659,29460421.744
0.115596,0.031672,2.753027,1.234411,3144.759,800.000,1.148846,12511.394,29336199.348
0.115948,0.031733,2.756158,1.234780,3144.442,800.000,1.148152,12460.769,29213554.340
0.116301,0.031793,2.759262,1.235145,3144.130,800.000,1.147464,12410.776,29092467.289
0.116654,0.031853,2.762337,1.235505,3143.820,800.000,1.146783,12361.408,28972919.078
0.117006,0.031913,2.765386,1.235861,3143.515,800.000,1.146108,12312.657,28854890.903
0.117359,0.031972,2.768408,1.236212,3143.212,800.000,1.145439,12264.515,28738364.265
0.117711,0.032031,2.771402,1.236559,3142.914,800.000,1.144778,12216.976,28623320.961
0.118064,0.032089,2.774370,1.236901,3142.619,800.000,1.144122,12170.032,28509743.085
0.118416,0.032147,2.777312,1.237238,3142.327,800.000,1.143473,12123.676,28397613.016
0.118769,0.032205,2.780226,1.237571,3142.039,800.000,1.142831,12077.902,28286913.416
0.119121,0.032262,2.783115,1.237900,3141.754,800.000,1.142195,12032.702,28177627.221
0.119474,0.032319,2.785978,1.238223,3141.473,800.000,1.141566,11988.070,28069737.640
0.119826,0.032375,2.788814,1.238542,3141.195,800.000,1.140943,11943.999,27963228.147
0.120179,0.032431,2.791625,1.238856,3140.920,800.000,1.140327,11900.483,27858082.476
0.120531,0.032487,2.794410,1.239166,3140.649,800.000,1.139717,11857.516,27754284.619
0.120884,0.032542,2.797170,1.239471,3140.381,800.000,1.139114,11815.090,27651818.817
0.121236,0.032597,2.799904,1.239772,3140.117,800.000,1.138517,11773.201,27550669.558
0.121589,0.032651,2.802613,1.240067,3139.856,800.000,1.137927,11731.842,27450821.570
0.121941,0.032705,2.805297,1.240358,3139.598,800.000,1.137344,11691.007,27352259.822
0.122294,0.032759,2.807956,1.240645,3139.344,800.000,1.136766,11650.689,27254969.512
0.122646,0.032812,2.810590,1.240927,3139.093,800.000,1.136196,11610.884,27158936.070
0.122999,0.032865,2.813200,1.241204,3138.845,800.000,1.135632,11571.586,27064145.148
0.123351,0.032917,2.815785,1.241477,3138.600,800.000,1.135074,11532.788,26970582.619
0.123704,0.032969,2.818345,1.241745,3138.359,800.000,1.134523,11494.486,26878234.575
0.124056,0.033021,2.820881,1.242008,3138.121,800.000,1.133979,11456.674,26787087.319
0.124409,0.033072,2.823394,1.242267,3137.886,800.000,1.133440,11419.347,26697127.362
0.124761,0.033123,2.825882,1.242522,3137.654,800.000,1.132909,11382.498,26608341.422
0.125114,0.033173,2.828346,1.242771,3137.425,800.000,1.132383,11346.124,26520716.418
0.125466,0.033223,2.830786,1.243017,3137.200,800.000,1.131864,11310.219,26434239.469
0.125819,0.033273,2.833203,1.243258,3136.977,800.000,1.131352,11274.778,26348897.887
0.126171,0.033322,2.835597,1.243494,3136.758,800.000,1.130846,11239.796,26264679.177
0.126524,0.033371,2.837966,1.243726,3136.541,800.000,1.130346,11205.267,26181571.032
0.126876,0.033419,2.840313,1.243953,3136.328,800.000,1.129852,11171.188,26099561.329
0.127229,0.033467,2.842636,1.244176,3136.118,800.000,1.129365,11137.554,26018638.131
0.127581,0.033515,2.844937,1.244395,3135.911,800.000,1.128884,11104.359,25938789.676
0.127934,0.033562,2.847214,1.244609,3135.706,800.000,1.128410,11071.600,25860004.380
0.128286,0.033609,2.849468,1.244819,3135.505,800.000,1.127941,11039.271,25782270.833
0.128639,0.033655,2.851700,1.245024,3135.306,800.000,1.127479,11007.368,25705577.796
0.128991,0.033701,2.853909,1.245225,3135.111,800.000,1.127023,10975.887,25629914.197
0.129344,0.033747,2.856095,1.245422,3134.918,800.000,1.126573,10944.823,25555269.128
0.129696,0.033792,2.858259,1.245615,3134.729,800.000,1.126130,10914.173,25481631.847
0.130049,0.033837,2.860401,1.245804,3134.542,800.000,1.125692,10883.931,25408991.768
0.130401,0.033881,2.862520,1.245988,3134.358,800.000,1.125260,10854.094,25337338.468
0.130754,0.033925,2.864617,1.246169,3134.176,800.000,1.124835,10824.658,25266661.674
0.131106,0.033969,2.866693,1.246345,3133.998,800.000,1.124415,10795.619,25196951.268
0.131459,0.034012,2.868746,1.246517,3133.822,800.000,1.124002,10766.972,25128197.284
0.131812,0.034055,2.870777,1.246685,3133.649,800.000,1.123594,10738.714,25060389.903
0.132164,0.034097,2.872787,1.246849,3133.479,800.000,1.123193,10710.841,24993519.451
0.132517,0.034139,2.874774,1.247009,3133.311,800.000,1.122797,10683.349,24927576.400
0.132869,0.034181,2.876741,1.247166,3133.146,800.000,1.122407,10656.234,24862551.364
0.133222,0.034222,2.878685,1.247318,3132.984,800.000,1.122023,10629.493,24798435.094
0.133574,0.034263,2.880609,1.247467,3132.824,800.000,1.121644,10603.122,24735218.483
0.133927,0.034303,2.882511,1.247612,3132.667,800.000,1.121272,10577.118,24672892.557
0.134279,0.034344,2.884391,1.247753,3132.512,800.000,1.120905,10551.477,24611448.478
0.134632,0.034383,2.886251,1.247890,3132.360,800.000,1.120543,10526.195,24550877.537
0.134984,0.034422,2.888089,1.248024,3132.211,800.000,1.120188,10501.269,24491171.160
0.135337,0.034461,2.889907,1.248154,3132.064,800.000,1.119838,10476.696,24432320.898
0.135689,0.034500,2.891703,1.248281,3131.919,800.000,1.119493,10452.472,24374318.430
0.136042,0.034538,2.893479,1.248404,3131.777,800.000,1.119154,10428.594,24317155.561
0.136394,0.034575,2.895233,1.248524,3131.637,800.000,1.118820,10405.060,24260824.218
0.136747,0.034613,2.896967,1.248640,3131.500,800.000,1.118492,10381.865,24205316.452
0.137099,0.034649,2.898681,1.248753,3131.365,800.000,1.118169,10359.007,24150624.432
0.137452,0.034686,2.900374,1.248862,3131.232,800.000,1.117852,10336.482,24096740.449
0.137804,0.034722,2.902046,1.248969,3131.102,800.000,1.117540,10314.288,24043656.909
0.138157,0.034758,2.903698,1.249072,3130.974,800.000,1.117233,10292.421,23991366.333
0.138509,0.034793,2.905330,1.249172,3130.848,800.000,1.116931,10270.879,23939861.361
0.138862,0.034828,2.906941,1.249268,3130.725,800.000,1.116634,10249.659,23889134.741
0.139214,0.034862,2.908533,1.249362,3130.604,800.000,1.116343,10228.757,23839179.336
0.139567,0.034896,2.910104,1.249453,3130.485,800.000,1.116057,10208.172,23789988.119
0.139919,0.034930,2.911654,1.249540,3130.368,800.000,1.115775,10187.900,23741554.171
0.140272,0.034963,2.913185,1.249625,3130.253,800.000,1.115499,10167.938,23693870.683
0.140624,0.034996,2.914696,1.249707,3130.141,800.000,1.115227,10148.285,23646930.951
0.140977,0.035029,2.916187,1.249786,3130.030,800.000,1.114961,10128.936,23600728.377
0.141329,0.035061,2.917659,1.249863,3129.922,800.000,1.114699,10109.891,23555256.469
0.141682,0.035092,2.919110,1.249936,3129.816,800.000,1.114442,10091.145,23510508.834
0.142034,0.035124,2.920542,1.250007,3129.711,800.000,1.114190,10072.698,23466479.187
0.142387,0.035154,2.921954,1.250076,3129.609,800.000,1.113942,10054.545,23423161.340
0.142739,0.035185,2.923347,1.250141,3129.509,800.000,1.113700,10036.685,23380549.206
0.143092,0.035215,2.924720,1.250205,3129.411,800.000,1.113461,10019.116,23338636.798
0.143444,0.035245,2.926073,1.250266,3129.314,800.000,1.113228,10001.835,23297418.226
0.143797,0.035274,2.927407,1.250324,3129.220,800.000,1.112999,9984.839,23256887.698
0.144149,0.035303,2.928722,1.250380,3129.128,800.000,1.112774,9968.127,23217039.517
0.144502,0.035331,2.930017,1.250434,3129.037,800.000,1.112554,9951.696,23177868.081
0.144854,0.035359,2.931293,1.250486,3128.948,800.000,1.112338,9935.544,23139367.886
0.145207,0.035387,2.932550,1.250535,3128.861,800.000,1.112127,9919.669,23101533.516
0.145559,0.035414,2.933788,1.250582,3128.776,800.000,1.111919,9904.068,23064359.652
0.145912,0.035441,2.935007,1.250628,3128.693,800.000,1.111716,9888.740,23027841.064
0.146264,0.035468,2.936206,1.250671,3128.612,800.000,1.111518,9873.683,22991972.616
0.146617,0.035494,2.937387,1.250712,3128.532,800.000,1.111323,9858.895,22956749.258
0.146969,0.035520,2.938548,1.250751,3128.454,800.000,1.111133,9844.373,22922166.034
0.147322,0.035545,2.939691,1.250789,3128.377,800.000,1.110946,9830.115,22888218.074
0.147675,0.035570,2.940815,1.250824,3128.303,800.000,1.110764,9816.121,22854900.597
0.148027,0.035594,2.941919,1.250858,3128.230,800.000,1.110585,9802.387,22822208.908
0.148380,0.035618,2.943005,1.250890,3128.158,800.000,1.110411,9788.912,22790138.400
0.148732,0.035642,2.944073,1.250921,3128.089,800.000,1.110240,9775.695,22758684.552
0.149085,0.035665,2.945121,1.250950,3128.021,800.000,1.110074,9762.733,22727842.929
0.149437,0.035688,2.946151,1.250977,3127.954,800.000,1.109911,9750.025,22697609.178
0.149790,0.035711,2.947163,1.251003,3127.889,800.000,1.109751,9737.569,22667979.033
0.150142,0.035733,2.948155,1.251027,3127.826,800.000,1.109596,9725.363,22638948.311
0.150495,0.035755,2.949129,1.251050,3127.764,800.000,1.109444,9713.406,22610512.910
0.150847,0.035776,2.950085,1.251072,3127.703,800.000,1.109296,9701.696,22582668.813
0.151200,0.035797,2.951022,1.251092,3127.644,800.000,1.109151,9690.232,22555412.084
0.151552,0.035817,2.951941,1.251111,3127.587,800.000,1.109010,9679.011,22528738.867
0.151905,0.035838,2.952841,1.251129,3127.531,800.000,1.108872,9668.033,22502645.390
0.152257,0.035857,2.953723,1.251145,3127.476,800.000,1.108738,9657.297,22477127.957
0.152610,0.035877,2.954587,1.251161,3127.423,800.000,1.108607,9646.800,22452182.957
0.152962,0.035895,2.955432,1.251175,3127.371,800.000,1.108480,9636.541,22427806.854
0.153315,0.035914,2.956259,1.251188,3127.321,800.000,1.108356,9626.518,22403996.194
0.153667,0.035932,2.957067,1.251201,3127.272,800.000,1.108235,9616.732,22380747.600
0.154020,0.035950,2.957858,1.251212,3127.224,800.000,1.108118,9607.179,22358057.773
0.154372,0.035967,2.958630,1.251222,3127.178,800.000,1.108003,9597.860,22335923.494
0.154725,0.035984,2.959384,1.251232,3127.132,800.000,1.107892,9588.772,22314341.619
0.155077,0.036001,2.960120,1.251241,3127.089,800.000,1.107784,9579.914,22293309.082
0.155430,0.036017,2.960838,1.251249,3127.046,800.000,1.107680,9571.286,22272822.893
0.155782,0.036033,2.961538,1.251256,3127.005,800.000,1.107578,9562.885,22252880.140
0.156135,0.036048,2.962220,1.251262,3126.965,800.000,1.107479,9554.712,22233477.984
0.156487,0.036063,2.962884,1.251268,3126.926,800.000,1.107383,9546.764,22214613.665
0.156840,0.036077,2.963529,1.251274,3126.888,800.000,1.107291,9539.041,22196284.496
0.157192,0.036091,2.964157,1.251278,3126.852,800.000,1.107201,9531.542,22178487.866
0.157545,0.036105,2.964767,1.251282,3126.817,800.000,1.107114,9524.266,22161221.238
0.157897,0.036119,2.965359,1.251286,3126.783,800.000,1.107030,9517.211,22144482.151
0.158250,0.036131,2.965933,1.251289,3126.750,800.000,1.106949,9510.377,22128268.215
0.158602,0.036144,2.966489,1.251292,3126.718,800.000,1.106870,9503.762,22112577.118
0.158955,0.036156,2.967027,1.251294,3126.688,800.000,1.106795,9497.367,22097406.619
0.159307,0.036168,2.967547,1.251296,3126.658,800.000,1.106722,9491.190,22082754.550
0.159660,0.036179,2.968050,1.251297,3126.630,800.000,1.106652,9485.230,22068618.819
0.160012,0.036190,2.968535,1.251298,3126.603,800.000,1.106585,9479.486,22054997.404
0.160365,0.036201,2.969002,1.251299,3126.576,800.000,1.106520,9473.958,22041888.357
0.160717,0.036211,2.969451,1.251300,3126.551,800.000,1.106458,9468.645,22029289.803
0.161070,0.036221,2.969882,1.251300,3126.527,800.000,1.106398,9463.547,22017199.938
0.161422,0.036230,2.970296,1.251300,3126.504,800.000,1.106342,9458.661,22005617.033
